equipment_id,name,equipment_type,location,manufacturer,model_number,serial_number,installed_date,age_years,design_pressure_bar,design_temp_c,criticality,status,next_pm_due,parent_equipment_id,notes
P-101,Centrifugal Pump P-101,Centrifugal Pump,Unit-01 Crude Distillation,KSB,MDL-4821,A3F2-91B4-CC12,2008-03-15,17.3,12.5,180.0,Critical,Active,2025-09-15,,
P-102,Centrifugal Pump P-102,Centrifugal Pump,Unit-01 Crude Distillation,Sulzer,MDL-3302,B7E1-44D9-FF03,2010-07-22,14.9,12.5,180.0,High,Active,2025-11-01,,
P-103,Centrifugal Pump P-103,Centrifugal Pump,Unit-02 Vacuum Distillation,Flowserve,MDL-5510,C9A3-12E7-AA54,2012-01-10,13.5,8.0,150.0,High,Standby,2025-08-20,,
P-104,Centrifugal Pump P-104,Centrifugal Pump,Unit-03 Hydrodesulphurisation,KSB,MDL-2277,D1F8-77B2-EE65,2015-06-30,10.0,15.0,220.0,Critical,Active,2025-10-10,,
P-105,Centrifugal Pump P-105,Centrifugal Pump,Unit-04 Reforming,Sulzer,MDL-6643,E4C5-33A1-BB76,2009-11-05,15.7,10.0,200.0,Medium,Active,2026-01-15,,
P-201,Reciprocating Pump P-201,Reciprocating Pump,Unit-05 Fluid Catalytic Cracking,Flowserve,MDL-1198,F6D7-55C3-DD87,2011-04-18,14.2,25.0,120.0,Critical,Active,2025-09-01,,
P-202,Reciprocating Pump P-202,Reciprocating Pump,Unit-06 Amine Treating,KSB,MDL-8834,G8E9-22F5-CC98,2013-09-25,11.8,20.0,100.0,High,Active,2025-12-05,,
E-101,Heat Exchanger E-101,Heat Exchanger,Unit-01 Crude Distillation,Alfa Laval,MDL-7723,H2A1-88G7-AA09,2007-05-12,18.2,18.0,280.0,Critical,Active,2025-10-20,,
E-102,Heat Exchanger E-102,Heat Exchanger,Unit-01 Crude Distillation,SPX Flow,MDL-3341,I5B3-44H9-BB10,2009-08-30,15.8,16.0,260.0,High,Active,2026-02-01,,
E-103,Heat Exchanger E-103,Heat Exchanger,Unit-02 Vacuum Distillation,Alfa Laval,MDL-9912,J7C5-66I1-CC21,2011-12-15,13.6,14.0,240.0,High,Active,2025-11-15,,
E-104,Heat Exchanger E-104,Heat Exchanger,Unit-03 Hydrodesulphurisation,SPX Flow,MDL-5567,K9D7-88J3-DD32,2014-03-20,11.3,20.0,300.0,Critical,Active,2025-09-25,,
E-201,Heat Exchanger E-201,Heat Exchanger,Unit-04 Reforming,Alfa Laval,MDL-1123,L1E9-11K5-EE43,2016-07-08,9.0,22.0,350.0,High,Standby,2026-03-10,,
V-101,Pressure Vessel V-101,Pressure Vessel,Unit-01 Crude Distillation,BHEL,MDL-4489,M3F1-33L7-FF54,2005-02-28,20.3,15.0,200.0,Critical,Active,2025-08-30,,
V-102,Pressure Vessel V-102,Pressure Vessel,Unit-02 Vacuum Distillation,L&T,MDL-6645,N5G3-55M9-GG65,2007-10-14,17.7,8.0,160.0,Critical,Active,2026-01-20,,
V-103,Pressure Vessel V-103,Pressure Vessel,Unit-03 Hydrodesulphurisation,BHEL,MDL-8801,O7H5-77N1-HH76,2010-04-02,15.2,30.0,350.0,Critical,Active,2025-10-05,,
V-104,Pressure Vessel V-104,Pressure Vessel,Unit-05 Fluid Catalytic Cracking,L&T,MDL-2257,P9I7-99O3-II87,2012-08-19,12.9,28.0,420.0,Critical,Active,2025-09-10,,
V-201,Pressure Vessel V-201,Pressure Vessel,Unit-06 Amine Treating,BHEL,MDL-4413,Q1J9-11P5-JJ98,2015-01-07,10.5,12.0,120.0,High,Active,2026-02-15,,
F-101,Fired Heater F-101,Fired Heater,Unit-01 Crude Distillation,Thermax,MDL-7769,R3K1-33Q7-KK09,2006-06-20,19.1,25.0,380.0,Critical,Active,2025-09-20,,
F-102,Fired Heater F-102,Fired Heater,Unit-04 Reforming,Forbes Marshall,MDL-9925,S5L3-55R9-LL10,2009-03-15,16.3,22.0,400.0,Critical,Active,2025-11-30,,
C-101,Compressor C-101,Compressor,Unit-03 Hydrodesulphurisation,Atlas Copco,MDL-1181,T7M5-77S1-MM21,2010-09-10,14.8,45.0,120.0,Critical,Active,2025-08-15,,
C-102,Compressor C-102,Compressor,Unit-04 Reforming,Atlas Copco,MDL-3337,U9N7-99T3-NN32,2012-12-28,12.6,50.0,140.0,Critical,Active,2025-10-25,,
C-103,Compressor C-103,Compressor,Unit-05 Fluid Catalytic Cracking,Siemens,MDL-5593,V1O9-11U5-OO43,2008-07-04,17.0,40.0,100.0,High,Standby,2026-01-05,,
B-101,Boiler B-101,Boiler,Unit-07 Utilities,Thermax,MDL-7749,W3P1-33V7-PP54,2004-11-22,20.6,16.0,300.0,Critical,Active,2025-09-05,,
B-102,Boiler B-102,Boiler,Unit-07 Utilities,Forbes Marshall,MDL-9905,X5Q3-55W9-QQ65,2008-05-18,17.2,14.0,280.0,Critical,Active,2025-12-10,,
TK-101,Storage Tank TK-101,Storage Tank,Unit-10 Offsite Storage,L&T,MDL-1161,Y7R5-77X1-RR76,2003-08-30,21.8,,, Medium,Active,2026-03-01,,
TK-102,Storage Tank TK-102,Storage Tank,Unit-10 Offsite Storage,BHEL,MDL-3317,Z9S7-99Y3-SS87,2005-12-15,19.6,,,Medium,Active,2026-04-15,,
TK-103,Storage Tank TK-103,Storage Tank,Unit-10 Offsite Storage,L&T,MDL-5573,A1T9-11Z5-TT98,2010-03-22,15.3,,,Low,Active,2026-05-20,,
AC-101,Air Cooler AC-101,Air Cooler,Unit-03 Hydrodesulphurisation,SPX Flow,MDL-7729,B3U1-33A7-UU09,2011-07-14,14.0,12.0,,High,Active,2025-10-15,,
AC-102,Air Cooler AC-102,Air Cooler,Unit-04 Reforming,Alfa Laval,MDL-9985,C5V3-55B9-VV10,2013-11-28,11.6,10.0,,Medium,Active,2026-01-25,,
SP-101,Separator SP-101,Separator,Unit-05 Fluid Catalytic Cracking,BHEL,MDL-1141,D7W5-77C1-WW21,2009-04-06,16.2,18.0,200.0,Critical,Active,2025-08-05,,
SP-102,Separator SP-102,Separator,Unit-03 Hydrodesulphurisation,L&T,MDL-3397,E9X7-99D3-XX32,2012-06-19,13.1,22.0,180.0,High,Active,2025-11-20,,
T-101,Column T-101,Column,Unit-01 Crude Distillation,BHEL,MDL-5553,F1Y9-11E5-YY43,2006-01-10,19.5,12.0,320.0,Critical,Active,2025-09-30,,
T-102,Column T-102,Column,Unit-02 Vacuum Distillation,L&T,MDL-7709,G3Z1-33F7-ZZ54,2008-09-25,16.8,4.0,280.0,Critical,Active,2026-02-20,,
T-103,Column T-103,Column,Unit-06 Amine Treating,BHEL,MDL-9965,H5A3-55G9-AA65,2014-02-14,11.4,8.0,100.0,High,Active,2025-12-01,,
R-101,Reactor R-101,Reactor,Unit-03 Hydrodesulphurisation,L&T,MDL-1121,I7B5-77H1-BB76,2005-07-30,20.0,60.0,380.0,Critical,Active,2025-09-15,,
R-102,Reactor R-102,Reactor,Unit-04 Reforming,BHEL,MDL-3377,J9C7-99I3-CC87,2007-11-12,17.6,55.0,420.0,Critical,Active,2025-10-30,,
M-101,Electric Motor M-101,Electric Motor,Unit-01 Crude Distillation,ABB,MDL-5533,K1D9-11J5-DD98,2010-05-07,15.2,,, High,Active,2025-11-10,,
M-102,Electric Motor M-102,Electric Motor,Unit-02 Vacuum Distillation,Siemens,MDL-7789,L3E1-33K7-EE09,2012-09-21,12.8,,,High,Active,2026-01-10,,
M-103,Electric Motor M-103,Electric Motor,Unit-03 Hydrodesulphurisation,ABB,MDL-9945,M5F3-55L9-FF10,2015-03-16,10.3,,,Medium,Active,2026-02-05,,
CV-101,Control Valve CV-101,Control Valve,Unit-01 Crude Distillation,Emerson,MDL-1101,N7G5-77M1-GG21,2011-08-10,13.9,15.0,200.0,High,Active,2025-10-20,,
CV-102,Control Valve CV-102,Control Valve,Unit-03 Hydrodesulphurisation,Honeywell,MDL-3357,O9H7-99N3-HH32,2013-12-05,11.6,25.0,320.0,Critical,Active,2025-09-25,,
CV-103,Control Valve CV-103,Control Valve,Unit-05 Fluid Catalytic Cracking,Emerson,MDL-5513,P1I9-11O5-II43,2016-04-22,9.2,18.0,260.0,High,Active,2026-03-15,,
SV-101,Safety Relief Valve SV-101,Safety Relief Valve,Unit-01 Crude Distillation,Emerson,MDL-7769,Q3J1-33P7-JJ54,2008-10-18,16.8,16.0,200.0,Critical,Active,2025-08-25,,
SV-102,Safety Relief Valve SV-102,Safety Relief Valve,Unit-03 Hydrodesulphurisation,Honeywell,MDL-9925,R5K3-55Q9-KK65,2010-02-14,15.4,32.0,350.0,Critical,Active,2025-09-05,,
SV-103,Safety Relief Valve SV-103,Safety Relief Valve,Unit-04 Reforming,Emerson,MDL-1181,S7L5-77R1-LL76,2012-06-30,13.1,55.0,420.0,Critical,Active,2025-10-01,,
FE-101,Flow Meter FE-101,Flow Meter,Unit-01 Crude Distillation,Yokogawa,MDL-3137,T9M7-99S3-MM87,2014-09-15,10.8,15.0,,Medium,Active,2026-01-30,,
FE-102,Flow Meter FE-102,Flow Meter,Unit-03 Hydrodesulphurisation,Emerson,MDL-5593,U1N9-11T5-NN98,2016-01-28,9.4,28.0,,Medium,Active,2026-02-28,,
LT-101,Level Transmitter LT-101,Level Transmitter,Unit-01 Crude Distillation,Honeywell,MDL-7749,V3O1-33U7-OO09,2015-05-20,10.1,,,Low,Active,2026-04-10,,
LT-102,Level Transmitter LT-102,Level Transmitter,Unit-02 Vacuum Distillation,Yokogawa,MDL-9905,W5P3-55V9-PP10,2016-08-12,8.9,,,Low,Active,2026-05-05,,
PT-101,Pressure Transmitter PT-101,Pressure Transmitter,Unit-01 Crude Distillation,Emerson,MDL-1161,X7Q5-77W1-QQ21,2015-11-03,9.7,,,Low,Active,2026-03-20,,
PT-102,Pressure Transmitter PT-102,Pressure Transmitter,Unit-03 Hydrodesulphurisation,Honeywell,MDL-3317,Y9R7-99X3-RR32,2017-02-25,8.4,,,Low,Active,2026-04-25,,
P-101-SEA,Mechanical Seal for P-101,Seal,Unit-01 Crude Distillation,KSB,MDL-7821,Z1S9-11Y5-SS43,2008-03-15,17.3,,,High,Active,2025-09-15,P-101,Sub-component of P-101
P-101-BEA,Bearing for P-101,Bearing,Unit-01 Crude Distillation,KSB,MDL-8832,A3T1-33Z7-TT54,2008-03-15,17.3,,,High,Active,2025-09-15,P-101,Sub-component of P-101
P-101-IMP,Impeller for P-101,Impeller,Unit-01 Crude Distillation,KSB,MDL-9943,B5U3-55A9-UU65,2008-03-15,17.3,,,High,Active,2025-09-15,P-101,Sub-component of P-101
P-201-SEA,Mechanical Seal for P-201,Seal,Unit-05 Fluid Catalytic Cracking,Flowserve,MDL-1154,C7V5-77B1-VV76,2011-04-18,14.2,,,High,Active,2025-09-01,P-201,Sub-component of P-201
P-201-BEA,Bearing for P-201,Bearing,Unit-05 Fluid Catalytic Cracking,Flowserve,MDL-2265,D9W7-99C3-WW87,2011-04-18,14.2,,,High,Active,2025-09-01,P-201,Sub-component of P-201
P-201-IMP,Impeller for P-201,Impeller,Unit-05 Fluid Catalytic Cracking,Flowserve,MDL-3376,E1X9-11D5-XX98,2011-04-18,14.2,,,High,Active,2025-09-01,P-201,Sub-component of P-201
